org_label,map_label
Project Planning,Unit Planning
Lesson Planning,Entire Lesson Planning
Explaining ELA Skills Development,ELA Skills Development
Gallery Walk,Group Work
Visual Representation,Integrate Visual Representation
Lesson Planning and Routine Adjustments,Learning Progression and Routine Adjustments
Peer Feedback,Generate Feedback to Students
Low-Income,Low-Income (FLR)
Curriculum-Based Assessments,Generate Summative Assessments
Instructional Routine and Adjustments,Learning Progression and Routine Adjustments
Decision Making,Economics and Decision Making
Summative Assessments,Generate Summative Assessments
Generate Assessments,Generate Summative Assessments
PLC,Prepare PLC/workshop Materials
Generate Answer Key,Generate Grading Rubrics
Problem-Based Scenarios,Real-World Engagement and Scenarios
UDL strategies,Differentiated Instructional Strategies
Problem Solving,Modeling Problem Solving
Career Exploration,Student Career Exploration
Problem-Solving,Modeling Problem Solving
