Category 1,Category 2,Group,updated_items
Instructional Practices,,Differentiation and Accessibility,Differentiated Instructional Strategies
Instructional Practices,,Differentiation and Accessibility,Multilingual Learner Support
Instructional Practices,,Differentiation and Accessibility,Tiered Scaffolding
Instructional Practices,Curriculum and Content Focus,Differentiation and Accessibility,Integrate Visual Representation
Instructional Practices,Curriculum and Content Focus,Project-Based and Real-World Learning,Real-World Engagement and Scenarios
Instructional Practices,,Project-Based and Real-World Learning,Projects
Instructional Practices,,Project-Based and Real-World Learning,Hands-On Activities
Instructional Practices,Curriculum and Content Focus,Project-Based and Real-World Learning,Experimental Design
Instructional Practices,Curriculum and Content Focus,Project-Based and Real-World Learning,Engineering and Design
Instructional Practices,Curriculum and Content Focus,Project-Based and Real-World Learning,Technical Skill Development
Instructional Practices,Curriculum and Content Focus,Project-Based and Real-World Learning,Industry Standards
Instructional Practices,,Collaborative Learning,Group Work
Instructional Practices,,Collaborative Learning,Student Discourse
Instructional Practices,,Critical Thinking and Inquiry,Encourage Critical Thinking and High-Level Cognition
Instructional Practices,,Critical Thinking and Inquiry,Inquiry and Deep Questions
Instructional Practices,Curriculum and Content Focus,Critical Thinking and Inquiry,Historical Thinking
Instructional Practices,Curriculum and Content Focus,Critical Thinking and Inquiry,Civics and Government
Instructional Practices,Curriculum and Content Focus,Critical Thinking and Inquiry,Geography and Human Systems
Instructional Practices,Curriculum and Content Focus,Critical Thinking and Inquiry,Economics and Decision Making
Instructional Practices,Curriculum and Content Focus,Critical Thinking and Inquiry,Research and Source Analysis
Instructional Practices,Curriculum and Content Focus,Explicit Teaching,Explaining Core Science Concepts
Instructional Practices,Curriculum and Content Focus,Explicit Teaching,Explaining Math Concepts
Instructional Practices,Curriculum and Content Focus,Explicit Teaching,Modeling Problem Solving
Instructional Practices,Curriculum and Content Focus,Explicit Teaching,Facilitate Procedural Fluency
Instructional Practices,Curriculum and Content Focus,Explicit Teaching,Crosscutting STEM Concepts
Instructional Practices,Curriculum and Content Focus,Explicit Teaching,Scientific Practices
Instructional Practices,Curriculum and Content Focus,Explicit Teaching,ELA Skills Development
Instructional Practices,,Instructional Routine,Learning Progression and Routine Adjustments
Instructional Practices,,Engagement and Motivation,Actionable Engagement Strategy
Student Needs and Context,,Classroom Setting,Socio-Economic
Student Needs and Context,,Classroom Setting,Low-Tech
Student Needs and Context,,Classroom Setting,Student Behavioral Intervention
Student Needs and Context,,Classroom Setting,Reluctant Learners
Student Needs and Context,,Classroom Setting,Homeschool
Student Needs and Context,,Student Profiles,Special Education (IEP)
Student Needs and Context,,Student Profiles,English Language Leaners (ELL)
Student Needs and Context,,Student Profiles,Low-Income (FLR)
Student Needs and Context,,Student Profiles,Advanced or Gifted
Student Needs and Context,,Student Profiles,Below Grade Level
Student Needs and Context,,Student Profiles,Mixed Ability
Student Needs and Context,,Student Profiles,Social Emotional Support
Student Needs and Context,Curriculum and Content Focus,Career Readiness,Student Career Exploration
Student Needs and Context,Curriculum and Content Focus,Career Readiness,Workplace Readiness
Student Needs and Context,Curriculum and Content Focus,Career Readiness,College Readiness
Curriculum and Content Focus,,Planning,Entire Lesson Planning
Curriculum and Content Focus,,Planning,Learning Standards Alignment
Curriculum and Content Focus,,Planning,Unit Planning
Curriculum and Content Focus,,Planning,In-class Activity Design and Adjustment
Curriculum and Content Focus,,Tech Integration,Multimedia Use for Instruction
Assessment and Feedback,,Assessment,Generate Formative Assessments
Assessment and Feedback,,Assessment,Generate Summative Assessments
Assessment and Feedback,,Assessment,Generate Grading Rubrics
Assessment and Feedback,,Assessment,Grading
Assessment and Feedback,,Feedback,Generate Feedback to Students
Assessment and Feedback,,Feedback,Data-Driven Student Learning Progress Monitoring
Professional Responsibilities,,Professional Development,Reflection on Teaching Practices
Professional Responsibilities,,Professional Development,Professional Development Needs and Requirements
Professional Responsibilities,,Professional Development,Prepare PLC/workshop Materials
Professional Responsibilities,,Communication,Communicate with Parents or Community
Professional Responsibilities,,Communication,Administrative Documentations
Professional Responsibilities,,Communication,Administrative Communications
Other,,Non-Educational,Non-Instructional Translation Request
Other,,Non-Educational,Non-Educational
Other,,Discourse Continuity,Follow-Up Prompt and Continuation
Other,,Discourse Continuity,Reject Previous Output
Other,,Discourse Continuity,Modification Request
Other,,Discourse Continuity,Format Modification
